Date,Open,High,Low,Close,Volume
22-Aug-11,93.81,97.70,90.00,90.93,7614704
19-Aug-11,95.05,100.54,89.83,90.05,8597194
18-Aug-11,94.40,99.74,89.26,96.20,12951137
17-Aug-11,97.88,100.62,92.37,92.90,6126877
16-Aug-11,104.50,104.50,94.50,97.91,7528062
15-Aug-11,104.76,106.42,102.75,106.30,3287929
12-Aug-11,105.17,106.99,100.75,103.23,4865170
11-Aug-11,99.33,104.24,97.11,103.00,5486953
10-Aug-11,90.55,101.09,89.53,96.18,7806534
9-Aug-11,0.00,92.78,86.32,92.74,7249659
8-Aug-11,85.01,88.83,82.00,83.07,5918329
5-Aug-11,93.12,93.59,86.00,90.99,7065849
4-Aug-11,96.27,97.29,90.66,90.79,5266259
3-Aug-11,98.41,103.15,95.25,99.87,6362528
2-Aug-11,105.90,109.14,101.60,101.76,4321324
1-Aug-11,109.86,110.49,105.25,106.67,4396282
29-Jul-11,108.04,110.20,106.03,108.09,3947551
28-Jul-11,111.50,113.75,108.11,111.04,3837888
27-Jul-11,114.41,115.80,110.60,110.67,4305863
26-Jul-11,116.08,117.53,115.00,115.38,4249144
25-Jul-11,112.36,116.60,112.16,113.18,4502262
22-Jul-11,112.39,116.75,112.01,114.22,4922672
21-Jul-11,117.77,118.00,110.32,111.70,7030688
20-Jul-11,120.83,121.20,115.40,119.00,4062729
19-Jul-11,124.70,125.37,119.16,119.59,6093950
18-Jul-11,115.93,121.70,115.20,121.01,5384357
15-Jul-11,118.80,119.67,115.30,117.17,4719901
14-Jul-11,115.80,119.19,112.25,114.56,8559520
13-Jul-11,108.85,115.00,108.68,114.54,8394542
12-Jul-11,104.12,108.05,103.28,105.16,6838438
11-Jul-11,110.63,112.13,103.19,105.35,9528828
8-Jul-11,110.39,113.84,110.20,113.58,6171002
7-Jul-11,115.92,115.92,112.29,113.65,7475164
6-Jul-11,112.78,116.33,111.18,113.30,8359238
5-Jul-11,110.09,116.19,108.84,114.62,10820118
1-Jul-11,108.76,108.76,108.76,108.76,0
30-Jun-11,101.00,104.25,98.50,104.10,8993771
29-Jun-11,102.11,102.16,98.50,100.45,9194548
28-Jun-11,96.34,101.62,96.00,100.54,12071701
27-Jun-11,92.27,95.67,91.30,94.80,11208720
24-Jun-11,90.06,93.40,88.13,89.35,9888446
23-Jun-11,83.69,89.90,83.13,87.90,13811115
22-Jun-11,92.18,92.38,85.82,86.05,11822681
21-Jun-11,79.50,92.90,79.21,92.02,16135939
20-Jun-11,81.19,82.25,77.33,77.62,10796499
17-Jun-11,86.32,86.40,79.83,80.57,12265129
16-Jun-11,88.50,89.65,79.61,83.77,12811686
15-Jun-11,90.16,92.17,85.92,86.88,12906356
14-Jun-11,89.10,93.40,88.70,91.61,12027582
13-Jun-11,90.39,91.17,84.91,86.11,13015195
10-Jun-11,91.21,94.34,89.01,89.33,12547684
9-Jun-11,96.37,97.98,88.52,90.92,28837249
8-Jun-11,106.69,109.44,94.76,96.79,19952059
7-Jun-11,111.49,111.83,101.65,109.10,20431664
6-Jun-11,115.62,116.95,107.41,109.39,12019287
3-Jun-11,123.33,128.17,111.00,111.60,14359907
2-Jun-11,121.02,126.42,119.57,125.14,5681538
1-Jun-11,118.23,123.00,117.57,120.00,6463019
31-May-11,119.35,120.47,117.45,118.79,4291143
27-May-11,116.04,116.04,116.04,116.04,0
26-May-11,112.16,115.50,109.75,114.09,4973583
25-May-11,110.70,114.28,110.50,112.00,4156911
24-May-11,110.97,111.90,109.12,109.50,3629805
23-May-11,112.82,112.83,108.53,109.00,5904845
20-May-11,117.50,118.60,114.16,115.97,6767141
19-May-11,111.46,118.75,111.46,117.39,8610396
18-May-11,114.72,116.37,111.02,111.40,8534675
17-May-11,108.14,113.13,105.11,112.94,10888613
16-May-11,104.22,112.97,104.21,106.28,10552393
13-May-11,111.57,111.73,104.98,106.88,14802437
12-May-11,123.15,126.50,112.50,113.15,15119325
11-May-11,121.00,122.86,114.85,119.80,10167917
10-May-11,126.19,126.19,120.00,120.09,5598916
9-May-11,125.50,127.80,124.00,124.45,3630435
6-May-11,126.52,126.88,123.45,125.19,4519146
5-May-11,118.50,125.90,118.50,122.26,6917091
4-May-11,120.80,124.26,115.66,118.76,10383447
3-May-11,134.64,134.71,122.00,122.22,8687841
2-May-11,137.39,139.38,134.50,135.00,4282701
29-Apr-11,130.60,135.84,130.00,134.75,3915098
28-Apr-11,128.60,132.96,127.56,130.47,4944864
27-Apr-11,134.65,135.22,125.11,129.06,6949375
26-Apr-11,139.89,140.38,133.11,134.61,5111506
25-Apr-11,129.50,139.86,127.35,138.41,6135852
21-Apr-11,133.06,133.06,133.06,133.06,0
20-Apr-11,145.69,145.73,140.10,142.83,8394333
19-Apr-11,137.50,147.12,136.01,142.40,15507728
18-Apr-11,123.38,135.94,121.20,135.13,8815763
15-Apr-11,123.88,124.56,120.84,124.56,4365993
14-Apr-11,122.16,122.16,122.16,122.16,0
13-Apr-11,114.77,120.00,114.15,119.95,6366160
12-Apr-11,114.13,115.98,110.80,111.27,4025302
11-Apr-11,115.01,118.76,111.41,116.27,6623950
8-Apr-11,119.39,120.48,115.00,119.35,5576818
7-Apr-11,110.97,117.25,109.67,117.02,4005924
6-Apr-11,108.25,108.25,108.25,108.25,0
5-Apr-11,116.41,116.45,112.90,113.56,3417040
4-Apr-11,113.57,116.66,113.17,116.56,4008276
1-Apr-11,108.00,112.15,107.70,111.45,3362710
31-Mar-11,107.15,108.86,105.51,107.04,2615708
30-Mar-11,109.25,109.25,109.25,109.25,0
29-Mar-11,103.96,108.59,103.35,107.65,3343070
28-Mar-11,105.80,106.38,103.27,103.49,3412840
25-Mar-11,103.82,103.82,103.82,103.82,0
24-Mar-11,99.56,101.96,97.22,101.10,4301846
23-Mar-11,94.30,98.95,93.42,98.60,3191210
22-Mar-11,93.02,94.77,91.65,94.70,2944197
21-Mar-11,90.00,93.25,89.79,93.05,2787991
18-Mar-11,86.64,86.64,86.64,86.64,0
17-Mar-11,92.99,93.90,87.39,87.88,4928136
16-Mar-11,93.20,95.78,90.14,90.91,4795335
15-Mar-11,91.43,92.95,87.33,91.35,5067125
14-Mar-11,94.80,98.98,94.48,95.72,5101856
11-Mar-11,94.61,94.61,94.61,94.61,0
10-Mar-11,88.12,92.76,86.66,92.24,3223842
